Zeit;Kanal A
(ms);(mV)

-23,98999908;-1,31643701
-23,98499908;-1,31643701
-23,97999908;-1,69291329
-23,97499908;-1,69291329
-23,96999908;-1,31643701
-23,96499908;-1,31643701
-23,95999908;-1,88053632
-23,95499908;-2,06877446
-23,94999908;-2,25701261
-23,94499908;-2,06877446
-23,93999908;-3,00935030
-23,93499908;-2,44525075
-23,92999908;-2,82111216
-23,92499908;-3,57344961
-23,91999908;-3,57344961
-23,91499908;-3,38582659
-23,90999908;-3,19758844
-23,90499908;-2,25701261
-23,89999908;-2,82111216
-23,89499908;-2,06877446
-23,88999908;-1,88053632
-23,88499908;-1,12819874
-23,87999908;-0,93996060
-23,87499908;0,18762302
-23,86999908;-1,12819874
-23,86499908;0,37586120
-23,85999908;0,00000000
-23,85499908;0,56409937
-23,84999908;-0,37586120
-23,84499908;0,00000000
-23,83999908;-0,56409937
-23,83499908;-0,75233757
-23,82999908;-1,12819874
-23,82499908;-2,25701261
-23,81999908;-2,06877446
-23,81499908;-2,25701261
-23,80999908;-3,19758844
-23,80499908;-3,38582659
-23,79999908;-3,19758844
-23,79499908;-2,63348913
-23,78999908;-3,57344961
-23,78499908;-3,00935030
-23,77999908;-2,25701261
-23,77499908;-2,06877446
-23,76999908;-2,25701261
-23,76499908;-1,50467515
-23,75999908;-1,50467515
-23,75499908;-1,31643701
-23,74999908;-1,31643701
-23,74499908;-1,12819874
-23,73999908;-1,50467515
-23,73499908;-0,93996060
-23,72999908;-0,75233757
-23,72499908;-0,75233757
-23,71999908;-1,31643701
-23,71499908;-1,12819874
-23,70999908;-1,12819874
-23,70499908;-1,31643701
-23,69999908;-1,31643701
-23,69499908;-0,93996060
-23,68999909;-0,56409937
-23,68499909;-1,12819874
-23,67999909;-0,75233757
-23,67499909;-1,12819874
-23,66999909;-0,37586120
-23,66499909;0,18762302
-23,65999909;0,18762302
-23,65499909;0,56409937
-23,64999909;1,12819874
-23,64499909;1,31643701
-23,63999909;1,69291329
-23,63499909;2,06877446
-23,62999909;2,44525075
-23,62499909;2,25701261
-23,61999909;4,89050150
-23,61499909;2,63348913
-23,60999909;3,00935030
-23,60499909;0,93996060
-23,59999909;3,00935030
-23,59499909;3,19758844
-23,58999909;3,38582659
-23,58499909;3,00935030
-23,57999909;3,00935030
-23,57499909;2,82111216
-23,56999909;2,44525075
-23,56499909;2,82111216
-23,55999909;3,00935030
-23,55499909;2,44525075
-23,54999909;2,25701261
-23,54499909;1,88053632
-23,53999909;2,25701261
-23,53499909;2,25701261
-23,52999909;2,06877446
-23,52499909;3,00935030
-23,51999909;2,82111216
-23,51499909;3,76168776
-23,50999909;3,94992590
-23,50499909;4,51402521
-23,49999909;4,13816404
-23,49499909;4,70226383
-23,48999909;4,32640219
-23,48499909;5,26697826
-23,47999909;3,94992590
-23,47499909;5,83107758
-23,46999909;5,64283943
-23,46499909;5,26697826
-23,45999909;5,64283943
-23,45499909;6,58341503
-23,44999909;5,83107758
-23,44499909;5,83107758
-23,43999909;4,89050150
-23,43499909;5,64283943
-23,42999909;4,32640219
-23,42499909;4,70226383
-23,41999909;3,76168776
-23,41499909;3,38582659
-23,40999909;4,32640219
-23,40499909;3,38582659
-23,39999909;4,32640219
-23,39499909;3,94992590
-23,38999909;4,32640219
-23,38499909;4,89050150
-23,37999909;3,94992590
-23,37499909;4,13816404
-23,36999909;3,38582659
-23,36499909;3,57344961
-23,35999909;3,38582659
-23,35499909;3,38582659
-23,34999909;3,57344961
-23,34499909;3,94992590
-23,33999909;2,82111216
-23,33499909;3,57344961
-23,32999909;3,00935030
-23,32499909;2,82111216
-23,31999909;2,06877446
-23,31499909;2,63348913
-23,30999909;2,06877446
-23,30499909;1,88053632
-23,29999909;1,69291329
-23,29499910;1,50467515
-23,28999910;0,56409937
-23,28499910;0,37586120
-23,27999910;0,56409937
-23,27499910;0,00000000
-23,26999910;0,00000000
-23,26499910;0,00000000
-23,25999910;-0,37586120
-23,25499910;-0,75233757
-23,24999910;-0,18762302
-23,24499910;-0,56409937
-23,23999910;-0,37586120
-23,23499910;1,12819874
-23,22999910;-1,31643701
-23,22499910;-1,50467515
-23,21999910;-1,31643701
-23,21499910;-1,69291329
-23,20999910;-2,25701261
-23,20499910;-4,51402521
-23,19999910;-3,00935030
-23,19499910;-3,57344961
-23,18999910;-2,44525075
-23,18499910;-3,38582659
